sozum,anlami,anahtar,turu2,kategori
keçeyi suya atmak,ar ve namusu hiçe saymak.,keçe,Deyim,8
keçi geberse de kuyruğunu indirmez,inatçı ölse de inadından vazgeçmez.,"kuyruk, indirmek",Atasözü,8
keçi kurttan kurtulsa gergedan olur,"tehlikeler, zararlar olmasa her şey alabildiğine gelişir.","kurtulmak, olmak",Atasözü,8
keçi nereye çıkarsa oğlağı da oraya çıkar,"büyüklerin tuttuğu yol, küçüklere örnek olur.","çıkmak, oğlak",Atasözü,8
keçiboynuzu gibi,"işi çok, verimi az olan.",keçiboynuzu,Deyim,9
keçide de sakal var,"sakal, kişiye değer kazandırmaz.",,Atasözü,8
keçileri kaçırmak,delirmek veya bunalım içinde bulunmak.,keçi,Deyim,8
keçilik etmek,inat etmek.,keçilik,Deyim,6
"keçinin uyuzu, çeşmenin gözünden su içer",değersiz kişiler kendilerini değerli ve en güzel şeye layık görürler.,"su, içmek",Atasözü,8
"keçiye can kaygısı, kasaba yağ kaygısı",bir kişi önemli bir kaybından dolayı çırpınıp kıvranırken başka bir kişi bu durumdan ne kadar çok yararlanabileceğini düşünür.,kasap,Atasözü,4
keçiyi yardan uçuran bir tutam ottur,gözü doymayan hırslı insanlar küçük bir çıkar için bütün varlığını tehlikeye atar.,uçurmak,Atasözü,4
keder çekmek,"acı duymak, ızdırap çekmek.",keder,Deyim,8
keder vermek,"üzüntü vermek, kederlendirmek, tasalandırmak.",keder,Deyim,8
kedi ciğere bakar gibi bakmak (süzmek veya seyretmek),"imrenerek bakmak:<i> 'Derin bir hayranlıkla gözlerini kıza kaptırmış, kedi ciğere bakar gibi süzüp duruyordu.' -</i>H. R. Gürpınar.",kedi,Deyim,8
kedi gibi,uysal ve sokulgan.,kedi,Deyim,8
kedi gibi dört ayak üzerine düşmek,en güç bir durumdan zarar görmeden kurtulmak.,kedi,Deyim,4
"kedi götünü görmüş, 'yaram var' demiş",bazı insanlar hiç olmayacak bir şeyi kendisine dert edinir.,"görmek, demek",Atasözü,4
kedi ile harara (çuvala) girmek,geçimsiz biri ile iş birliği yapmak.,kedi,Deyim,8
kedi ile köpek gibi,"birbirleriyle geçinemeyen, anlaşamayan kimseler için söylenen bir söz.",kedi,Deyim,4
kedi kıçına bakar da 'yaram var' dermiş,bazı insanlar hiç olmayacak bir şeyi kendisine dert edinir.,"bakmak, demek",Atasözü,4
"kedi ne, budu ne?",eti ne budu ne.,kedi,Deyim,8
kedi olalı bir fare tuttu,en sonunda bir iş başarabildi.,"olmak, tutmak",Atasözü,4
kedi yavrusunu yerken sıçana benzetir,kişi yolsuz olduğunu bildiği bir işi yaparken kendini mazur göstermek için bahane uydurur.,"yemek, benzetmek",Atasözü,8
kedi yetişemediği  (uzanamadığı) ciğere pis (murdar) dermiş,"kişi, elde edemediği şeyi istemiyormuş, beğenmiyormuş gibi görünür.","yetişmek, uzanmak, demek",Atasözü,8
kedinin boynuna ciğer asılmaz,"bir kimseye, kullanıp zarar vereceği, kendine mal edip ortadan kaldıracağı şey emanet edilmez.","boyun, asılmak",Atasözü,8
kedinin gideceği samanlığa kadar,"uygunsuz iş yapan kişi, ne kadar kaçarsa kaçsın, gideceği yer bellidir, kısa zamanda yakayı ele verir.","gitmek, samanlık",Atasözü,8
"kedinin kabahatini önüne koyarlar, öyle döverler",cezalandırılan kimse suçunun ne olduğunu bilmelidir ki o suçu bir daha işlemesin.,"ön, koymak, dövmek",Atasözü,8
"kedinin kanadı olsaydı, serçenin adı kalmazdı","saldırganlar istediklerini yapabilecek durumda olsalardı, zayıfları kolaylıkla ortadan kaldırır, bol bol çıkarlarını sağlarlardı.","kanat, olmak, ad, kalmak",Atasözü,8
kedinin usluluğu sıçan görünceye kadar,"atılgan kişilerin sessiz ve eylemsiz durmaları, onları çileden çıkaran bir durum baş gösterince sona erer.","usluluk, görünmek",Atasözü,8
"kediye 'bokun kimya' demişler, üstünü örtmüş","iyilik sevmeyen, karşısındakinin iyi olmasını istemeyen kişi, atacağı bir şeyi diğerine yaramaması için faydalanılamayacak duruma getirir.","demek, üst, örtmek",Atasözü,8
kediye peynir (ciğer) ısmarlamak,güvenilmeyecek birine saklaması için bir şey bırakmak.,kedi,Deyim,4
kediyi sıkıştırırsan üstüne atılır,"senden çekinen, korkan kişi, çok sıkıştırırsan sana karşı gelir.","sıkıştırmak, üst, atılmak",Atasözü,9
kefeki tutmak,küflenmek.,kefeki,Deyim,8
kefekiye dönmek,delik deşik olmak.,kefeki,Deyim,1
kefen alacak adam yüzünden belli olur,"bir kimsenin herhangi bir eyleme girişeceği, o eyleme girişmesini zorunlu kılan durumlardan anlaşılır.","almak, olmak",Atasözü,4
kefeni boynunda olmak,her an ölümü göze almak.,kefen,Deyim,7
kefeni yırtmak,ağır bir hastalıkta ölüm tehlikesini atlatmak.,kefen,Deyim,4
kefenin cebi yok,ölürken mal veya para götürülmez.,cep,Atasözü,8
kefil göstermek,bir iş için gerekli olan kefili bulmak.,kefil,Deyim,4
kehanette bulunmak,kâhinlik etmek:<i> 'Bunu belirtirken bir kehanette bulunmuş olmuyordum.' -</i>Y. K. Karaosmanoğlu.,kehanet,Deyim,6
kehribar gibi,"sapsarı, koyu sarı:<i> 'Üstelik tütünler kehribar gibiydi bu yıl.' -</i>N. Cumalı.",kehribar,Deyim,8
keklik gibi,"güzel, alımlı, hareketli:<i> 'Bir gün evvel keklik gibi seken dipdiri bir insan, bir gün sonra kargabüken yemiş gibi kıvrılmış yatıyor.' -</i>R. N. Güntekin.",keklik,Deyim,4
kel başa şimşir tarak,birçok gereksinimi varken gereksiz özenti ve gösterişle uğraşanlar için kullanılan bir söz.,,Atasözü,3
kel ilaç bilse kendi başına sürer,kendi işini halledemeyen kişiden aynı durum için yardım alınamaz.,"bilmek, sürmek",Atasözü,8
"kel ölür, sırma saçlı olur, kör ölür badem gözlü olur",bir kimse veya bir şey yok olduğunda değer kazanır.,"ölmek, olmak",Atasözü,4
kel yanında kabak anılmaz,"bir kişinin yanında, uzaktan da olsa onun kusurunu hatırlatabilecek sözler söylemekten çekinilmelidir.",anılmak,Atasözü,2
kele köseden yardım olmaz,"kişi, kendisinin yardıma muhtaç olduğu konuda başkasına yardım edemez.",olmak,Atasözü,8
kelek atmak,<i> argo</i> birisini beklemediği anda hile ve dalavere yaparak zarara sokmak.,kelek,Deyim,8
kelek yapmak,<i> argo</i> oyunbozanlık etmek.,kelek,Deyim,6
keleklik etmek,"görgüsüzlük, bilgisizlik nedeniyle karşısındakinin gerçek amacını anlayamamak.",keleklik,Deyim,6
kelepçe vurmak (takmak),bileklere demir halka geçirmek.,kelepçe,Deyim,8
kelepçeye vurmak,kelepçe vurmak.,kelepçe,Deyim,8
kelepir yakalamak,bir şeyi çok ucuza almak.,kelepir,Deyim,7
kelepire konmak,kelepir yakalamak.,kelepir,Deyim,8
keleş keleş sırıtmak,pis pis gülmek:<i> 'Asker kaçağı vatan hainlerinin keleş keleş sırıtan yüzlerini hayalliyordu.' -</i>O. Kemal.,keleş,Deyim,8
keleye çekmek,boğaya çekmek.,kele,Deyim,8
keli körü toplamak,işe yaramaz kimseleri toplamak.,kel,Deyim,8
kelimeleri tartarak konuşmak,sonucu hesaplayarak konuşmak.,kelime,Deyim,8
kelimenin tam anlamıyla,bir durumu anlatmak için kullanılan sözün kapsadığı anlamın tamamıyla:<i> Kelimenin tam anlamıyla bu işin bütün çilesini çekti.</i>,kelime,Deyim,8
kelin ayıbını takke örter,"birçok kimsenin kusurunu zenginlik, makam vb. durumlar örter.","ayıp, örtmek",Atasözü,8
kelin medarı olsa kendi başına olur,kendi işini halledemeyen kişiden aynı durum için yardım alınamaz.,olmak,Atasözü,2
kelin merhemi olsa başına sürer,kendi işini halledemeyen kişiden aynı durum için yardım alınamaz.,"olmak, sürmek",Atasözü,2
kelle götürmek,"gereksiz bir aceleyle gitmek, koşturmak, acele davranmak:<i> 'İşi besbelli acele imiş. Bir koşturur ki sanırsın kelle götürüyor.' -</i>R. N. Güntekin.",kelle,Deyim,4
kelle koltukta gezmek,gözünü budaktan esirgememek.,kelle,Deyim,8
kelle koparmak,"olumsuz ve başarısız bir durum sonunda işe, göreve son vermek.",kelle,Deyim,4
kelle koşturmak,gereğinden çok acele etmek.,kelle,Deyim,6
kelle kulak yerinde,"1) kanlı canlı ve iri yapılı olan; 2) gösterişli, itibarlı sayılan:<i> 'Aralarında yaşlı başlı, kelle kulak yerinde, efendiden adamlar da var.' -</i>R. N. Güntekin.",kelle,Deyim,8
kelle sağ olsun da külah bulunur,kişi yaşasın da elbet bir iş sahibi olur.,"olmak, bulunmak",Atasözü,4
kellesinden olmak,"can vermek, ölmek:<i> 'Kimi kellesinden olur padişah olayım derken, kimi de yaka paça oturtulur tahtına.' -</i>T. Oflazoğlu.",kelle,Deyim,8
kellesini koltuğuna almak,"ölümü göze almak:<i> 'Kelleyi koltuğun altına almışız, memleketteki pisliği kanımızla temizlemeye karar vermişiz.' -</i>Y. K. Karaosmanoğlu.",kelle,Deyim,7
kelleyi koltuğun altına almak,kellesini koltuğuna almak.,kelle,Deyim,7
kelleyi vermek,canını feda etmek.,kelle,Deyim,6
kem gözle bakmak,1) kötü niyetle bakmak; 2) nazar değdiren bir bakışla bakmak:<i> 'Eh yakışıklı da delikanlı. Bir tanesi kem gözle baktıysa tamam.' -</i>H. Taner.,kem göz,Deyim,4
kem küm etmek,"verecek cevap bulamayıp açık bir anlamı olmayan sözler söylemek:<i> 'Mazeretin ne olursa olsun, İncir Han'ından kendi ayağınla çıktıktan sonra artık kem küm etmemek, dilenciliği meslek olarak kabul etmek lazımdır.' -</i>R. N. Güntekin.",kem küm,Deyim,6
"kem söz, kalp (kem) akçe sahibinindir",kötü söz söyleyenindir.,sahip,Atasözü,8
kemal bulmak,kemale ermek.,kemal,Deyim,8
kemale ermek (gelmek),olgunlaşmak.,kemal,Deyim,8
keman gibi,"ince, düzgün (kaş).",keman,Deyim,8
kemer (kemerini) sıkmak,sıkı para politikası anlayışıyla daha az tüketmek.,kemer,Deyim,8
kemeri dolu olmak,"çok zengin olmak:<i> 'Genç, ihtiyar, hepsi tüysüz tüysüz, gözleri fersizdir fakat hepsinin kemeri doludur.' -</i>H. E. Adıvar.",kemer,Deyim,1
kemiğine (kemiklerine) kadar,"iyice, en son sınıra dek:<i> Soğuk kemiklerimize kadar işlemişti.</i>",kemik,Deyim,8
kemiğini kurutmak,iliğini kurutmak.,kemik,Deyim,8
kemik gibi,"1) pek kuru, katı, sert; 2) sağlam.",kemik,Deyim,8
kemikleri sızlamak,"ölü huzursuz, rahatsız olmak.",kemik,Deyim,1
kemlik etmek,kötü davranışlarda bulunmak.,kemlik,Deyim,6
kemre bağlamak,deride kir tabakası oluşmak.,kemre,Deyim,8
kenar gezmek,bir şeyden uzaklaşmış olmak:<i> 'Kenar gezme dolan yâr gel içeri / Bize mihman olan yâr gel içeri' -</i>Halk türküsü.,kenar,Deyim,8
kenara atmak,"bir şeyin üstünde durmamak, önemsememek.",kenar,Deyim,4
kenara çekilmek,artık hiçbir şeye karışmamak.,kenar,Deyim,8
kenarda kalmak,kendine yakışan yeri tutamayarak önemsiz bir duruma düşmek.,kenar,Deyim,4
kenarın dilberi nazik de olsa nazenin olmaz,kibar çevrede yetişmemiş olanlar ne kadar özenseler de kibarlığın bütün inceliklerini gösteremezler.,olmak,Atasözü,2
kendi ağzıyla tutulmak,"suçu, yalanı veya iddiasının yanlışlığı kendi sözüyle ortaya çıkmak.",kendi,Deyim,8
kendi âlemine dalmak,"1) çevre ile ilgisini kesip iç dünyasına kapanmak:<i> 'Hayalperest kendi âlemine dalmışken uyanmasına imkân yoktur.' -</i>S. F. Abasıyanık. 2) eğlenceye, zevküsefaya kapılmak.",kendi,Deyim,8
kendi ayağı ile gelmek,kendi isteğiyle gelmek.,kendi,Deyim,8
kendi derdine düşmek,kendi sorunu sebebiyle başka şeyle ilgilenememek:<i> 'Savaş yüzünden herkes kendi derdine düşmüştü.' -</i>A. Kutlu.,kendi,Deyim,8
kendi düşen ağlamaz,kendi zararına kendisi neden olanın yakınmaya hakkı olmaz.,"düşmek, ağlamak",Atasözü,8
kendi göbeğini kendi kesmek,"gereksinim duyduğu yardım, başkalarınca esirgendiğinde işini kendi görmek.",kendi,Deyim,8
kendi gölgesinden korkmak,"çok korkak olmak, bir sakınca söz konusu olmayan işlere girişmekten bile korkmak.",kendi,Deyim,2
kendi havasında gitmek (olmak),"yalnız başına, istediği gibi davranmak.",kendi,Deyim,1
kendi hesabına çalışmak,uğraştığı işi sadece kendisi için yapmak:<i> 'Böyle bir amatörlük devresi geçirdikten sonra biraz da kendi hesabına çalışmayı düşündü.' -</i>R. N. Güntekin.,kendi,Deyim,8
kendi içine çekilmek,"başkasıyla ilişki kurmamak, yalnız başına kalmak, inzivaya çekilmek:<i> 'Bizim gibi dış âlemle münasebetleri aksamış, kendi içine çekilip kendi yağıyla kavrulmak zorunda kalmıştı.' -</i>Y. K. Karaosmanoğlu.",kendi,Deyim,8
kendi kabuğuna çekilmek,kabuğuna çekilmek.,kendi,Deyim,8
kendi kanatlarıyla uçmak,hiç kimsenin desteği veya yardımı olmaksızın yaşamak veya bir işi olumlu sonuca ulaştırmak:<i> 'Kendi kanatlarınla uçmayı öğreninceye dek yanından ayrılır mıyım senin yavrum?' -</i>T. Oflazoğlu.,kendi,Deyim,8
kendi kendine gelin güveyi olmak,ilgilinin nasıl karşılayacağını düşünmeden bir işi olmuş bitmiş sayarak sevinmek:<i> 'Kız kardeşi ile Mahir daha ortada fol yok yumurta yokken gelin güveyi olmuşlar.' -</i>H. R. Gürpınar.,kendi kendine,Deyim,8
kendi kendini didiklemek,"kendi kendini harap etmek, üzmek:<i> 'Öfkesinin şiddetinden hep kendi kendini didikledi.' -</i>H. R. Gürpınar.",kendi,Deyim,6
kendi kendini yemek,"açığa vurmadan içten içe üzülmek:<i> 'İçinde çarpışan bu iki zıt kuvvetten hangisine tabi olacağını bir türlü kestiremiyor, kendi kendini yiyip bitiriyordu.' -</i>H. Taner.",kendi,Deyim,0
kendi keyfine gitmek,isteğine uygun davranmak.,kendi,Deyim,8
kendi köşesinde yaşamak,"yalnız başına yaşamak:<i> 'Bu şiirlerin okuyucuya tanıttığı kişi, kitapları, üç beş sevdiği dostu ile kendi köşesinde yaşamayı seven bir kimse olarak görünür.' -</i>N. Cumalı.",kendi,Deyim,8
kendi kuyusunu kendi kazmak,kendine zarar verecek davranışta bulunmak.,kendi,Deyim,8
kendi söyler kendi dinler,"ne söylediği anlaşılmaz, söylediği şeylere önem verilmez.","söylemek, dinlemek",Atasözü,8
kendi üstüne yormak,alınmak.,kendi,Deyim,8
kendi yağıyla kavrulmak,"elinde bulunanla geçinip kimseye muhtaç olmamak:<i> 'Fakat durup dururken, kendi yağıyla kavrulan bir genç kız namusuna bu kadar namussuzca iftira olur mu?' -</i>E. İ. Benice.",kendi,Deyim,8
kendimi bildim bileli,"öteden beri, eskiden beri:<i> 'Kendimi bildim bileli hep bu bozuk makine seslerini duyarım.' -</i>Y. K. Karaosmanoğlu.",kendi,Deyim,8
kendinde olmamak,"bilinci, aklı yerinde olmamak.",kendi,Deyim,8
kendinde toplamak,"kendi üzerinde bulundurmak, kendi varlığı içinde yer almasını sağlamak.",kendi,Deyim,8
kendinden geçmek,"1) bilinci işlemez olmak, kendini kaybetmek, bayılmak:<i> 'Gözlerini tezgâhın arkasındaki bir kapıya dikmiş ve kendinden geçmiş gibiydi.' -</i>S. F. Abasıyanık. 2) bir şey karşısında coşkuya kapılmak, duygulanmak:<i> 'Oturduğu şiltenin üstünde ayağa kalkıyor; alevi artan bakışlarla kendinden geçmiş, bir elini dizine vurarak ... haykırıyordu.' -</i>A. Ş. Hisar. 3) uykuya dalmak, uyuyakalmak:<i> 'Ninniyi söyleyen anne kendinden geçeli belki bir hayli olmuştu.' -</i>O. C. Kaygılı.",kendinden,Deyim,4
kendine dert etmek,bir şeyi üzüntü konusu yapmak.,kendi,Deyim,6
kendine gel!,<i> tkz.</i> 'aklını başına topla' anlamında kullanılan bir uyarma sözü.,kendi,Deyim,3
kendine gelmek,1) ayılmak:<i> 'Üzerine soğuk su dökülen sarhoş adam kendine geldiğinde sade kahve ona zorla içirildi.' -</i>İ. O. Anar. 2) aklı başına gelmek:<i> 'Sonunda kendine gelen İnce Memed hemen abasını soyundu.' -</i>Y. Kemal. 3) durumu düzelmek.,kendi,Deyim,8
kendine (herhangi bir şeye) ... süsü vermek,gerçeğe aykırı olarak kendisinde veya herhangi bir şeyde üstün bir nitelik ve değer varmış gibi göstermek:<i> 'Bu zannını bir çeşit materyalist felsefeye uydurarak ona yüksek bir entelektüalizm süsü verirdi.' -</i>Y. K. Karaosmanoğlu.,kendi,Deyim,4
kendine hisse çıkarmak,ders almak:<i> 'Siz niçin bundan kendinize hisse çıkarmıyorsunuz?' -</i>Ö. Seyfettin.,kendi,Deyim,7
kendine kıymak,"kendini öldürmek:<i> 'Eğer sefirler gelip bana istifa teklif ederlerse ben de aleyhimde bulunanları mahvederim, sonra da kendime kıyarım.' -</i>A. Rasim.",kendi,Deyim,8
kendine mal etmek,1) benimsemek veya saymak:<i> 'Fakat hiçbir taraf beni kendine mal edemiyordu.' -</i>H. Taner. 2) başkasının yaptığı işi kendisi yapmış gibi göstermek.,kendi,Deyim,6
kendine yedirememek,"1) başkasının kendisine yaptığı işi, onur kırıcı sayarak tepki ile karşılamak; 2) kendisinin başkasına yapması söz konusu olan işi, kişiliği için onur kırıcı saydığından yapmamak.",kendi,Deyim,8
kendine yontmak,çıkan her fırsattan yararlanarak hep kendi çıkarını sağlamak.,kendi,Deyim,8
kendini ağır (ağırdan) satmak,"1) nazlanmak, gönülsüz davranmak:<i> 'Kız kendisini ağır satmakta devam ediyor.' -</i>R. H. Karay. 2) huylarını yavaş yavaş ortaya koymak:<i> 'Müdüre göre idareci biraz çatkın olacak yani oldukça ağırdan satacak kendini.' -</i>K. Korcan.",kendi,Deyim,8
kendini alamamak,istemeyerek bir işi yapma durumuna girmek:<i> 'Yabancı memurların karşısında bir çocuk gibi yaramazlık etmekten kendimi alamıyordum.' -</i>R. N. Güntekin.,kendi,Deyim,4
kendini aşağı görmek,"kendini başkalarından değersiz görmek:<i> 'Onun perişan kalbine ölümden beter bir felç illetini, kendini aşağı görme ukdesini yerleştirmiştir.' -</i>N. F. Kısakürek.",kendi,Deyim,8
kendini ateşe atmak,bile bile tehlikeli bir işe girişmek:<i> Kendinizi ateşe atıyorsunuz</i>,kendi,Deyim,2
kendini avutmak,oyalanmak:<i> 'Para kazanamadığın için para kazananları hor görüp alaya alarak kendini avutuyor olmalısın.' -</i>H. Taner.,kendi,Deyim,8
kendini beğendirmek,"başkalarına hoş, iyi, yetenekli görünmek:<i> 'Kendini kibar okuyucularına beğendirebilmek için çok çalışmak zorundadır.' -</i>C. Meriç.",kendi,Deyim,9
kendini beğenmek,başkalarını küçümseyerek kendini üstün görmek.,kendi,Deyim,8
kendini bırakmak,"1) kendine özen göstermemek:<i> 'Artık kendini bırakmak zorunda görünür gibi olan amcasının huzurundan çıktılar.' -</i>N. F. Kısakürek. 2) çevre ile ilgisini keserek yalnız bir konuyla uğraşmak:<i> 'O hayalleri kuran da o hatıralara kendini bırakan da bugünkü ben değil miyim?' -</i>N. Ataç. 3) gevşek, rahat bir biçimde kalmak:<i> 'Pencere kenarında, uzun bir mindere kendini bıraktı, gözlerini kapadı, öylece kaldı.' -</i>P. Safa.",kendi,Deyim,4
kendini bilmek,1) aklı ve muhakemesi yerinde olmak; 2) baliğ olmak; 3) ağırbaşlı olmak; 4) kendinin ve çevresinin bilincine varmak; 5) durum ve onuruna yakışacak biçimde davranmak.,kendi,Deyim,1
kendini bir şey sanmak,kendini olduğundan çok değerli görmek.,kendi,Deyim,9
kendini bir yerde bulmak,farkında olmadan bir yere ulaşmış olmak:<i> 'Hacı Arif Efendi bu kıyametin içinde yarım saat boşluktan sonra kendini bir bostanın içinde buldu.' -</i>Y. K. Karaosmanoğlu.,kendi,Deyim,4
kendini (birini) temize çıkarmak (çıkartmak),<i> huk.</i> aklandırmak:<i> 'Sonra kendini büsbütün temize çıkartmak için üstünün ve eşyasının aranmasını istedi.' -</i>R. N. Güntekin.,kendi,Deyim,8
kendini bulmak,"1) kişilik kazanmak; 2) maddi ve manevi konularda durumunu düzeltmek; 3) kendine gelmek:<i> 'Kendini, çiğ ve yakıcı ışık çerçevesi içinde bulur bulmaz, ter boğmasına uğradı.' -</i>A. İlhan.",kendi,Deyim,8
kendini dağıtmak,"1) farklı işlerle aynı anda uğraşmaktan kötü durumda olmak:<i> 'Kendini böyle sağa sola dağıttıkça tadına varılmaz bir mutluluk, esenlik duyuyordu' -</i>Halikarnas Balıkçısı. 2) ne yaptığını bilmeyecek kadar içip kendinden geçmek:<i> 'Onlar benim dostlarım, kendimi onların yanında dağıtmış olmam çok vahim değil.' -</i>A. Kulin.",kendi,Deyim,9
